Quantity, Name, CardNumber, Expansion Code, Expansion Name, PurchasePrice, Foil, Condition, Language, PurchaseDate, Single Current Price, Total Current Price
1,"Fabled Passage",244,eld,Throne of Eldraine,5.92,false,NearMint,German,20241012,3.6,3.6
1,"Fierce Guardianship",94,cmm,Commander Masters,38.43,false,NearMint,German,20241012,30.0,30.0
1,"Force of Negation",52,mh1,Modern Horizons,50.24,false,NearMint,German,20241012,45.25,45.25
1,"Forest",306,fwb,Foreign White-Bordered,0.0,false,NearMint,German,20241012,0.0,0.0
1,"Forest",349,mir,Mirage,0.4,false,Excellent,English,20241012,0.1,0.1
2,"Forest",301,2ed,Unlimited Edition,2.8,false,NearMint,German,20241012,1.47,2.94
1,"Forest",348,6ed,Classic Sixth Edition,0.68,false,NearMint,German,20241012,0.17,0.17
1,"Forest",275,woe,Wilds of Eldraine,0.14,true,NearMint,German,20241012,0.02,0.02
1,"Forest",347,6ed,Classic Sixth Edition,0.84,false,NearMint,German,20241012,0.17,0.17
1,"Forest",270,ltr,The Lord of the Rings: Tales of Middle-earth,0.16,true,NearMint,German,20241012,0.04,0.04
1,"Forest",347,usg,Urza's Saga,1.04,false,NearMint,German,20241012,0.56,0.56
1,"Forest",350,usg,Urza's Saga,0.44,false,NearMint,German,20241012,0.14,0.14
1,"Forest",350,6ed,Classic Sixth Edition,0.72,false,NearMint,German,20241012,0.09,0.09
1,"Forest",348,usg,Urza's Saga,0.68,false,NearMint,German,20241012,0.3,0.3
3,"Forest",276,woe,Wilds of Eldraine,0.07,false,NearMint,German,20241012,0.01,0.03
3,"Forest",489,mh2,Modern Horizons 2,0.06,true,NearMint,German,20241012,0.01,0.03
2,"Forest",305,fwb,Foreign White-Bordered,0.0,false,NearMint,German,20241012,0.0,0.0
193,"Forest",490,mh2,Modern Horizons 2,0.11,true,NearMint,German,20241012,0.05,9.65
1,"Harrow",165,zen,Zendikar,0.47,false,NearMint,German,20241012,0.26,0.26
1,"Hedge Maze",262,mkm,Murders at Karlov Manor,10.13,false,NearMint,German,20241012,7.01,7.01
1,"Island",263,woe,Wilds of Eldraine,0.24,false,NearMint,German,20241012,0.11,0.11
2,"Island",370,ice,Ice Age,1.02,false,NearMint,German,20241012,0.16,0.32
1,"Island",254,war,War of the Spark,0.52,true,NearMint,German,20241012,0.13,0.13
1,"Island",270,woe,Wilds of Eldraine,0.12,true,NearMint,German,20241012,0.05,0.05
1,"Island",292,cei,Intl. Collectors’ Edition,4.83,false,NearMint,German,20241012,4.45,4.45
1,"Island",338,6ed,Classic Sixth Edition,0.61,false,NearMint,German,20241012,0.18,0.18
1,"Island",22,rex,Jurassic World Collection,2.48,false,NearMint,German,20241012,0.9,0.9
1,"Jace, Wielder of Mysteries",54,war,War of the Spark,6.88,false,NearMint,German,20241012,3.96,3.96
1,"Jace, the Mind Sculptor",31,wwk,Worldwake,22.13,false,NearMint,English,20241012,17.73,17.73
1,"Jin-Gitaxias",65,pmom,March of the Machine Promos,11.45,true,NearMint,German,20241012,6.01,6.01
1,"Kodama's Reach",649,cmm,Commander Masters,1.34,false,NearMint,English,20241012,0.5,0.5
1,"Llanowar Scout",170,dom,Dominaria,0.11,false,NearMint,English,20241012,0.05,0.05
1,"Lotus Cobra",193,znr,Zendikar Rising,4.19,false,NearMint,English,20241012,2.0,2.0
1,"Mana Drain",80,cmr,Commander Legends,35.04,true,NearMint,German,20241012,34.86,34.86
1,"Misty Rainforest",220,zen,Zendikar,26.6,false,NearMint,German,20241012,18.73,18.73
1,"Mystic Remora",87,ice,Ice Age,5.39,false,NearMint,English,20241012,3.57,3.57
1,"Nexus of Fate",306,m19,Core Set 2019,12.46,true,NearMint,German,20241012,9.0,9.0
1,"Omniscience",65,m19,Core Set 2019,12.91,false,NearMint,German,20241012,7.9,7.9
1,"One with the Multiverse",59,bro,The Brothers' War,5.82,false,NearMint,English,20241012,1.78,1.78
1,"Pact of Negation",77,tsr,Time Spiral Remastered,11.18,false,NearMint,English,20241012,9.06,9.06
1,"Personal Tutor",110,cmm,Commander Masters,4.23,false,NearMint,German,20241012,3.0,3.0
1,"Polluted Delta",224,mh3,Modern Horizons 3,13.46,false,NearMint,English,20241012,11.25,11.25
1,"Prismatic Vista",244,mh1,Modern Horizons,27.68,false,NearMint,English,20241012,20.0,20.0
1,"Rampant Growth",190,m12,Magic 2012,0.58,false,NearMint,German,20241012,0.25,0.25
1,"Ramunap Excavator",433,cmr,Commander Legends,2.82,false,NearMint,German,20241012,1.26,1.26
1,"Rejuvenating Springs",424,cmm,Commander Masters,4.65,false,NearMint,German,20241012,3.5,3.5
1,"Reliquary Tower",425,cmm,Commander Masters,1.65,false,NearMint,German,20241012,1.4,1.4
1,"Reshape the Earth",249,cmr,Commander Legends,7.27,false,NearMint,German,20241012,4.99,4.99
1,"Roil Elemental",62,zen,Zendikar,12.04,false,NearMint,German,20241012,7.0,7.0
1,"Roiling Regrowth",201,znr,Zendikar Rising,0.4,false,NearMint,German,20241012,0.28,0.28
1,"Scalding Tarn",254,mh2,Modern Horizons 2,20.82,false,NearMint,English,20241012,17.6,17.6
1,"Sea Gate Restoration",76,znr,Zendikar Rising,27.77,false,NearMint,German,20241012,25.0,25.0
1,"Sea Gate, Reborn",76,znr,Zendikar Rising,27.77,false,NearMint,German,20241012,25.0,25.0
1,"Sol Ring",261,cmd,Commander 2011,1.48,false,NearMint,German,20241012,1.0,1.0
1,"Steal Enchantment",90,tmp,Tempest,8.77,false,NearMint,English,20241012,1.8,1.8
1,"Strip Mine",82,atq,Antiquities,40.71,false,NearMint,German,20241012,28.95,28.95
1,"Sylvan Library",350,dmr,Dominaria Remastered,24.56,true,NearMint,English,20241012,22.37,22.37
1,"Tatyova, Benthic Druid",1494,mb1,Mystery Booster,0.26,false,NearMint,German,20241012,0.13,0.13
1,"Tatyova, Steward of Tides",222,dmu,Dominaria United,0.06,false,NearMint,German,20241012,0.01,0.01
1,"Terramorphic Expanse",428,cmm,Commander Masters,0.12,false,NearMint,German,20241012,0.07,0.07
1,"Thassa's Oracle",308,vthb,Theros Beyond Death Variants,29.21,false,NearMint,English,20241012,24.0,24.0
1,"The Great Synthesis",65,pmom,March of the Machine Promos,11.45,true,NearMint,German,20241012,6.01,6.01
1,"Three Visits",261,cmr,Commander Legends,5.23,false,NearMint,German,20241012,3.76,3.76
1,"Tishana's Tidebinder",335,lci,The Lost Caverns of Ixalan,2.89,false,NearMint,German,20241012,1.73,1.73
1,"Uro, Titan of Nature's Wrath",229,pthb,Theros Beyond Death Promos,12.73,true,NearMint,German,20241012,11.0,11.0
1,"Verdant Catacombs",229,zen,Zendikar,22.81,false,NearMint,English,20241012,18.3,18.3
1,"Wayward Swordtooth",331,cmm,Commander Masters,4.41,false,NearMint,German,20241012,2.5,2.5
1,"Windswept Heath",328,ons,Onslaught,38.25,false,NearMint,English,20241012,27.5,27.5
1,"Wrenn and Seven",208,mid,Innistrad: Midnight Hunt,7.58,true,NearMint,German,20241012,4.45,4.45
1,"Yavimaya, Cradle of Growth",261,mh2,Modern Horizons 2,8.18,false,NearMint,German,20241012,6.78,6.78
